"","tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"36159","PH","Constitución",6,2,137,204000
"36160","Casa","Flores",6,2,186,305000
"36161","Casa","Villa Lugano",5,2,90,220000
"36162","Casa","Villa Lugano",3,1,150,110000
"36163","Casa","Villa Ortuzar",5,3,236,370000
"36164","Departamento","Flores",2,1,47,86000
"36165","Departamento","Flores",4,1,84,140000
"36166","Departamento","Flores",4,1,85,185000
"36167","Departamento","Nuñez",2,1,60,169000
"36168","Departamento","Nuñez",2,1,51,200000
"36169","Departamento","Nuñez",3,1,51,145000
"36170","Departamento","Nuñez",2,1,44,165000
"36171","Departamento","Nuñez",4,2,106,326000
"36172","Departamento","Nuñez",2,1,50,160000
"36173","Departamento","Nuñez",1,1,50,120000
"36174","Departamento","Nuñez",1,1,54,115000
"36175","Departamento","Nuñez",1,1,32,110000
"36176","Departamento","Nuñez",1,1,44,120000
"36177","Departamento","Nuñez",2,1,80,224000
"36178","Departamento","Nuñez",4,1,64,185000
"36179","Departamento","Almagro",2,1,34,89000
"36180","Departamento","Almagro",5,3,150,280000
"36181","Departamento","Almagro",4,3,150,280000
"36182","Departamento","Almagro",1,1,41,89550
"36183","Departamento","Almagro",1,1,36,80580
"36184","Departamento","Coghlan",2,1,61,114000
"36185","Departamento","Coghlan",2,1,55,164000
"36186","Departamento","Palermo",4,2,105,400000
"36187","Departamento","Palermo",1,1,33,87669
"36188","Departamento","Palermo",4,1,87,317730
"36189","Departamento","Palermo",1,1,38,131250
"36190","Departamento","Palermo",4,1,87,320355
"36191","Departamento","Palermo",4,2,80,200000
"36192","Departamento","Palermo",1,1,35,150000
"36193","Departamento","Palermo",1,1,44,111900
"36194","Departamento","Palermo",1,1,29,98000
"36195","Departamento","Palermo",1,1,42,141000
"36196","Departamento","Palermo",1,1,32,116000
"36197","Departamento","Palermo",4,1,87,322980
"36198","Departamento","Palermo",1,1,43,155000
"36199","Departamento","Palermo",1,1,29,98000
"36200","Departamento","Palermo",2,1,53,130000
"36201","Departamento","Palermo",3,1,69,280000
"36202","Departamento","Palermo",3,1,69,270000
"36203","Departamento","Palermo",4,2,156,399000
"36204","Departamento","Palermo",2,2,54,320000
"36205","Departamento","Palermo",1,1,43,144000
"36206","Departamento","Palermo",3,1,53,139500
"36207","Departamento","Palermo",1,1,47,188055
"36208","Departamento","Palermo",3,1,59,122000
"36209","Departamento","Palermo",1,1,60,140772
"36210","Departamento","Palermo",4,1,100,230000
"36211","Departamento","Palermo",1,1,35,123000
"36212","Departamento","Palermo",4,2,158,800000
"36213","Departamento","Palermo",5,2,175,580000
"36214","Departamento","Barracas",2,1,67,215000
"36215","Departamento","Belgrano",1,1,50,120000
"36216","Departamento","Belgrano",2,1,53,170000
"36217","Departamento","Belgrano",4,1,67,250000
"36218","Departamento","Belgrano",4,2,170,480000
"36219","Departamento","Belgrano",2,1,45,150000
"36220","Departamento","Belgrano",1,1,46,148000
"36221","Departamento","Belgrano",2,1,36,92000
"36222","Departamento","Belgrano",1,1,34,104000
"36223","Departamento","Belgrano",5,3,172,520000
"36224","Departamento","Belgrano",5,2,225,595000
"36225","Departamento","Belgrano",2,1,55,215000
"36226","Departamento","Belgrano",3,2,96,320000
"36227","Departamento","Belgrano",2,1,40,105000
"36228","Departamento","Belgrano",1,1,40,120000
"36229","Departamento","Belgrano",3,2,88,320000
"36230","Departamento","Belgrano",3,2,82,360000
"36231","Departamento","Belgrano",2,1,40,105000
"36232","Departamento","Belgrano",4,3,233,790000
"36233","Departamento","Belgrano",4,2,120,359000
"36234","Departamento","Belgrano",4,3,204,480000
"36235","Departamento","Floresta",3,1,70,165000
"36236","Departamento","Floresta",2,1,42,90000
"36237","Departamento","Paternal",3,1,88,165000
"36238","Departamento","Recoleta",3,2,123,350000
"36239","Departamento","Recoleta",5,2,142,470000
"36240","Departamento","Recoleta",3,2,116,465000
"36241","Departamento","Recoleta",3,1,127,279000
"36242","Departamento","Recoleta",4,2,130,355000
"36243","Departamento","Recoleta",3,1,62,270000
"36244","Departamento","Recoleta",3,1,60,178000
"36245","Departamento","Recoleta",2,1,40,160000
"36246","Departamento","Recoleta",2,1,37,115000
"36247","Departamento","Saavedra",1,1,78,112500
"36248","Departamento","Saavedra",2,1,44,130000
"36249","Departamento","Balvanera",4,1,122,185000
"36250","Departamento","Caballito",5,2,118,322500
"36251","Departamento","Caballito",3,1,63,214900
"36252","Departamento","Caballito",2,1,58,135000
"36253","Departamento","Caballito",4,2,116,440000
"36254","Departamento","Caballito",5,3,150,280000
"36255","Departamento","Caballito",1,1,41,130000
"36256","Departamento","Caballito",1,1,30,93000
"36257","Departamento","Chacarita",4,3,150,280000
"36258","Departamento","Chacarita",5,3,150,280000
"36259","Departamento","Chacarita",3,1,75,156000
"36260","Departamento","Colegiales",4,2,103,298000
"36261","Departamento","Tribunales",4,1,80,168000
"36262","Departamento","Villa Luro",3,1,52,120000
"36263","Departamento","Barrio Norte",3,1,85,275000
"36264","Departamento","Barrio Norte",3,1,53,159000
